Tenant,Track,Age,Security,Activity,Protection,Usage,Change,Adoption,Result,Description,Goal
E5,Fast,1,0.19,0.8,0.5,0.1,0.02,0.9,1,,1
DEV,Fast,1,0,0,0,0,0,0,0,,1
E5,Fast,1.97,0.88,0.75,0.56,0.71,0.77,0.30,1,,1
E5,Fast,2.19,0.41,0.34,0.87,0.78,0.10,0.87,0,,1
E5,Fast,0.20,0.61,0.65,0.19,0.65,0.63,0.83,1,,1
E5,Fast,3.51,0.70,0.06,0.25,0.46,0.00,0.85,0,,1
E5,Fast,0.39,0.13,0.58,0.90,0.43,0.36,0.35,1,,1
E5,Fast,2.49,0.10,0.18,0.62,0.47,0.01,0.39,0,,1
E5,Fast,3.48,0.54,0.89,0.96,0.71,0.93,0.02,0,,1
E5,Fast,1.48,1.00,0.90,1.00,0.50,0.65,0.25,1,,1
E5,Fast,0.72,0.42,0.87,0.92,0.84,0.58,0.91,0,,1
E5,Fast,0.60,0.13,0.86,0.92,0.16,0.03,0.70,1,,1
E5,Fast,0.49,0.02,0.51,0.52,0.08,0.10,0.55,1,,1
E5,Fast,4.00,0.60,0.99,0.82,1.00,0.80,0.40,0,,1
E5,Fast,0.34,0.71,0.54,0.67,0.46,0.33,0.29,0,,1
E5,Fast,4.47,0.73,0.66,0.09,0.16,0.69,0.62,0,,1
E5,Fast,0.84,0.60,0.64,0.86,0.22,0.00,0.59,1,,1
E5,Fast,4.23,0.10,0.06,0.40,0.01,0.97,0.79,1,,1
E5,Fast,4.86,0.28,0.21,0.99,0.98,0.95,0.79,0,,1
E5,Fast,3.60,0.27,0.71,0.71,0.44,0.03,0.00,0,,1
E5,Fast,3.87,0.59,0.57,0.92,0.53,0.59,0.06,0,,1
E5,Fast,1.64,0.33,0.05,0.31,0.84,0.99,0.27,1,,1
E5,Fast,1.47,0.27,0.34,0.68,0.64,0.64,0.76,0,,1
E5,Fast,3.84,0.71,0.22,0.83,0.51,0.82,0.82,0,,1
E5,Fast,3.47,0.53,0.95,0.66,0.42,0.20,0.49,0,,1
E5,Fast,3.60,1.00,0.82,0.52,0.64,0.03,0.22,0,,1
E5,Fast,4.89,0.85,0.30,0.09,0.52,0.82,0.97,0,,1
E5,Fast,0.07,0.59,0.98,0.19,0.20,0.73,0.16,1,,1
E5,Fast,1.85,0.89,0.44,0.73,0.64,0.11,0.81,0,,1
E5,Fast,2.57,0.28,0.28,0.93,0.40,0.86,0.11,1,,1
E5,Fast,0.19,0.03,0.56,0.73,0.00,0.92,0.75,0,,1
E5,Fast,2.76,0.34,0.47,0.61,0.09,0.45,0.29,1,,1
E5,Fast,3.59,0.39,0.39,0.85,0.34,0.33,0.45,1,,1
E5,Fast,2.20,0.32,0.21,0.09,0.20,0.54,0.05,1,,1
E5,Fast,0.52,0.24,0.37,0.01,0.67,0.83,0.85,0,,1
E5,Fast,4.08,0.84,0.82,0.53,0.43,0.33,0.85,1,,1
E5,Fast,2.69,0.37,0.78,0.09,0.79,0.15,0.85,0,,1
E5,Fast,4.96,0.95,0.34,0.59,0.82,0.40,0.60,1,,1
E5,Fast,1.52,0.84,0.03,0.80,0.97,0.69,0.49,0,,1
E5,Fast,1.63,0.39,0.09,0.49,0.92,0.53,0.32,1,,1
E5,Fast,2.75,0.75,0.20,0.16,0.33,0.78,0.05,1,,1
E5,Fast,1.65,0.89,0.29,0.47,0.24,0.16,1.00,0,,1
E5,Fast,3.02,0.68,0.46,0.58,0.12,0.08,0.67,1,,1
E5,Fast,3.50,0.88,0.37,0.95,0.04,0.44,0.83,0,,1
E5,Fast,2.84,0.96,0.85,0.94,0.10,0.10,0.02,1,,1
E5,Fast,2.95,0.79,0.18,0.85,0.55,0.91,0.72,0,,1
E5,Fast,2.22,0.84,0.35,0.44,0.01,0.50,0.24,0,,1
E5,Fast,2.06,0.98,0.40,0.55,0.78,0.96,0.74,1,,1
E5,Fast,0.90,0.08,0.19,0.55,0.38,0.88,0.74,1,,1
E5,Fast,2.11,0.18,0.55,0.44,0.07,0.03,0.58,1,,1
E5,Fast,0.53,0.43,0.58,0.22,0.81,0.48,0.66,1,,1
E5,Fast,2.43,0.14,0.94,0.46,0.67,0.13,0.01,1,,1
E5,Fast,0.66,0.91,0.42,0.43,0.59,0.89,0.18,1,,1
E5,Fast,0.58,0.84,0.01,0.75,0.72,0.56,0.11,0,,1
E5,Fast,0.20,0.58,0.50,0.12,0.91,0.24,0.12,0,,1
E5,Fast,4.61,0.65,0.24,0.63,0.15,0.60,0.87,0,,1
E5,Fast,3.85,0.31,0.56,0.91,0.96,0.77,0.67,1,,1
